label,spa_qura1,spa_qura2
0,cómo agregar una foto,¿Cómo agrego artículos al carrito de compras?
0,"no, no puedo seguir mi orden",Hago un pedido ¿Cuándo puedo esperar mi pedido?
0,No entiende que la protección del comprador ha finalizado y no me reembolsaron y no recibí mi pedido.,Realmente no me ayudaste así que lo intentaré de otra manera
0,usted no me puede ayudar,me puedes ayudar con el estado de la orden
0,¿Cómo puedo cambiar los datos de mi tarjeta de crédito?,¿Cómo puedo cambiar mi país?
0,Cambiar el número de teléfono,dame un número de teléfono
0,el vendedor no me responde,¡Por favor respóndeme!
1,cómo imprimo las facturas,¿Cómo puedo imprimir una factura por pedido?
1,¿El número de pedido es también el número de seguimiento?,¿Es lo mismo el número de pedido y el número de seguimiento?
0,cómo subir la imagen,No puedo ver la foto
0,Soy de Pakistán y quiero volver a vender tus productos,¿Puedo vender en su sitio web?
0,"Hasta ahora, este chat no está yendo bien.",Voy a matarte
1,Realmente necesito un ser humano para hablar,necesito un humano real
0,este es mi numero de orden,¿Cómo puedo encontrar mi número de orden?
0,este enlace está vacío,¿Por qué mi lista de deseos está vacía?
0,?Dónde está mi pedido?,¿Dónde está mi reembolso?
0,¿Hay otras formas de pagar,¿Cómo puedo saber cuánto debo pagar en otra moneda?
0,entonces no puede hacer el pago bancario si t,¿Quién pagará la tarifa del servicio bancario al realizar el pago mediante transferencia bancaria?
0,incapaz de encontrar la dirección,No puedo cambiar mi dirección de correo electrónico. Dice que ya está en uso.
0,Espere. Quiero obtener un producto gratis para publicitar en youtube,Quiero obtener una factura por mi producto.
0,"Devolví el pedido, ¿ya lo has recibido?","Cancelé esta orden hace algunas semanas, pero aún no he recibido ningún reembolso."
1,cómo configurar la dirección de envío,¿Cómo configuro la dirección de envío?
0,"¿Puedo usar la tarjeta visa entonces? Si es así, ¿cómo podría agregar la tarjeta a la información?",¿Puedo pagar con la tarjeta visa?
0,mi consulta es sobre el estado de mi pedido,con respecto a mi orden
0,Imposible crear una cuenta,Es imposible ordenar el producto
0,¿Es cierto que tengo que cancelar la disputa antes de que puedan procesar un reembolso?,¿Cómo puedo tener el reembolso?
1,¿tienes un numero de telefono?,Ustedes tienen un número de teléfono al que puedo llamar
1,No puedo abrir una disputa y ¿cómo puedo contactar a mi vendedor?,¿Cómo puedo contactar al vendedor?
1,cómo eliminar pedidos,¿Cómo puedo eliminar órdenes de pase?
0,¿Puedes cancelar?,¿Cómo puedo cancelar mi membresía?
0,"solo quiero iniciar sesión, pero ¿dónde está mi contraseña?",No puedo iniciar sesión en mi cuenta.
1,No puedo usar mi cupón de selección,¿Por qué no puedo usar Select Coupon?
0,cómo usar el cupón del vendedor?,¿Cómo uso Select Coupon?
1,"Necesito acelerar tres de mis pedidos, uno de ellos ya ha sido enviado y los otros dos están pendientes, ¿hay alguna forma de ayudarme?","¿Se puede acelerar el envío de mercancías, no en 30 días?"
0,Accidentalmente cancelé mi orden,¿Por qué se cancela mi pedido?
1,Cómo administrar mi carrito de compras,¿Cómo usar carrito de compras?
1,¿Cómo puedo obtener un recibo o factura de la orden?,¿Cómo obtengo un recibo?
0,he perdido el numero de pedido,He perdido mi contraseña.
1,¿Cómo puedo obtener mi reembolso?,¿Cómo puedo obtener mi reembolso?
0,¡obtén más información sobre las nuevas funciones!,¿Me podría decir más sobre dropshipping?
0,?Por qué me sale un error al intentar pagar?,¿Qué puedo hacer si he hecho un pedido por error?
0,Reviso mi banco y mi dinero aún no es un reembolso,Pagué mi pedido pero el pago aún no está confirmado
1,¿Eres una persona real?,¿Eres una persona en vivo o una computadora?
0,"Hola, ¿cómo puedo agregar fotos en mis comentarios?",¿Puedo agregar mi dirección de envío?
0,No puedo editar mi dirección de facturación en los Países Bajos,¿Cómo edito mi perfil?
0,"Olvidé la identificación de la cuenta de inicio de sesión y la contraseña, ¿qué debo hacer?","Esta cuenta no existe, ¿qué debería hacer?"
0,necesito una parte,Necesito devolver el producto y necesito un remite
0,"si el producto de mi pedido se coloca en Europa, y quiero llegar a finlandia. ¿Debo pagar impuestos?",Pagué mi pedido pero no vine
0,"hace unos dias tuve problemas para realizar mi compra,me solicitaron que enviara unos documentos para verificar mi identidad y ya los envie, es por eso que quiero saber si ya esta resuelto el problema",¿Cuándo tengo que verificar mi identidad al hacer un pedido?
0,estoi esperando respuesta de la tienda,Necesito la dirección de la tienda.
0,"Entonces, ¿cómo puedo hacer eso?",¿Tiene un número de teléfono para poder hacer mi pedido?
0,Ordené de España a España ahora que mandan el pedido de China?,es tu empresa de China?
1,Hice un pedido la semana pasada para una pantalla de teléfono,he hecho un pedido
0,lo siento pero no me ayudas,¿Me ayudarás o qué?
0,eliminar mi número de tarjeta,cómo eliminar mi pedido?
1,El vendedor se niega a reembolsar o reenviar,el vendedor no quiere aprobar el reembolso
0,"Quiero zapatos más anchos para caminar, el ancho debe ser E, EE, EEE, EEEE","Quiero cambiar mi dirección de correo electrónico porque la anterior fue pirateada, ¿cómo puedo hacer?"
0,He analizado lo que sugirió y no me ayudó. Necesito que mi cuenta sea eliminada o mi contraseña para restablecer el correo electrónico y el nombre de usuario. Por favor pon a tu jefe.,"Hice el pago en línea, el pago se realizó"
0,¿Quería saber más o menos el día en que llegaron mis productos?,No puedo contactar a los vendedores de productos que aún no han llegado.
0,No hay nadie en línea para ayudar,entonces nadie me ayuda
0,cómo editar contacto,¿Cómo edito la disputa escalada?
0,¿cómo agregar comentarios para el vendedor?,¿Cómo consulto a un vendedor si no tiene comentarios?
0,cómo bloquear a un vendedor,¿Cómo me pongo en contacto con el vendedor?
0,Te odio eva,"Eva, eres una mierda"
1,"¿Puedo conectarme a un operador en vivo, por favor?",¿Puedo comunicarme con una persona en vivo?
0,no puedo dejar comentarios,¿Cuándo puedo dejar comentarios?
1,me están diciendo que cancele la disputa,cómo cancelar una disputa abierta?
0,por error hice dos órdenes de las que necesito cancelar el último,"Necesito cancelar el pedido, pero el vendedor se niega a cancelar."
0,"pero cuando no estoy en mi cuenta, me refiero a cuando veo como invitado, puedo ver la página de información",¿Dónde puedo ver el número de pedido?
0,no llegaron mis pedidos,¿Cómo comparto mis pedidos?
0,por favor necesito presentar una apelación,¿Cómo puedo subir el archivo?
1,devolver la dirección de envío del vendedor,No tengo dirección de vuelta
0,Hice el pago primero.,"Hice el pago, pero la orden fue congelada"
0,Necesito mi reembolso,¿Debo devolver el producto para obtener un reembolso?
0,"Hola, mi fecha de caducidad está vencida. ¿Cómo cambio la fecha cuando envío una nueva tarjeta con una nueva fecha?","Tengo un cupón, ¿cómo lo uso en mi nuevo pedido?"
0,"en mi lista de pedidos ""Ver detalles"", último estado el 27 de abril y no más",Cómo recuperar mi cupón si se completó el último pedido
0,Cómo subir MP4 en disputa,¿Por qué no puedo subir evidencia para una disputa?
0,¿Qué te sucede?,¿Qué sucede después de que la orden fue congelada?
1,Lo intento ahora,Trataré de resolverlo
0,no puede contactar al vendedor,¿Por qué no puedo usar mi cupón de vendedor?
0,¿Cómo puedo presentar una apelación?,¿Puedo presentar una queja contra el vendedor?
1,Produje el video de la segunda linterna defectuosa,Me han enviado un artículo defectuoso
0,Necesito los diez artículos principales que vendí en 2017,¿Qué significa vendido por pieza?
0,alguna persona puede atenderme?,¿Por qué me han cobrado un pedido de otra persona?
0,envié una solicitud pero no salió nada,Quiero solicitar un reembolso
0,Todavía no puedo pagar mis pedidos,¿Puedo vender cosas?
0,cómo retroalimentar,¿Cómo puedo cambiar un comentario?
0,Me gustaría saber sobre el arancel adicional. ¿Qué es? ¿Cómo puedo usar?,¿Puedo saberlo por favor?
0,Quiero encontrar proveedores por país,¿Por qué no puedo encontrar a China en la lista de países?
1,el orden nunca se procesa,Pago mi pedido pero aún no procesado
0,Tengo un nuevo correo electrónico,Compré un producto y no he recibido un correo electrónico de confirmación
0,cómo abrir una disputa en la aplicación,Cómo abrir disputa para orden completada
0,"INSISTO, ME QUEDAN 8 HORAS DE PROTECCION PUEDO HACER UNA AMPLIACION DE LA PROTECCION",¿Por qué deniegan mi pago después de 24 horas?
0,Necesito acceder a mis pedidos de móvil en mi PC,No puedo acceder a mi cuenta. ¿Me puedes ayudar?
1,Disputa terminada El vendedor aceptó reembolsar pero no recibió el reembolso.,"El vendedor acordó reembolsar el dinero, ¿cómo puedo obtenerlo?"
1,"No recuerdo el nombre y la contraseña de inicio de sesión de la cuenta, cómo funciona, ¿puedo encontrar el nombre y la contraseña de mi cuenta?",No recuerdo mi nombre de identificación
0,Solo quería saber si es posible evitar que los fondos se vuelvan a acreditar en mi cuenta. Una orden mía fue cancelada recientemente y me gustaría utilizar esos mismos fondos y una recarga para comprar otra cosa.,¿Me gustaría saber en qué sitio sigo mi pedido?
1,"Devolví el pedido, ¿ya lo has recibido?",Devolví mi artículo
0,"No lo hice, pero nada",No puedo escribir nada en la caja
0,¿Cómo puedo cambiar mi contraseña si ya no tengo acceso a ese correo electrónico?,¿Puedo enviarte un correo electrónico?
0,Él me lo escribió ayer,Escribí el nombre del destinatario equivocado
0,"Quiero saber, ¿qué pasa con mis causas?",Dejé comentarios. ¿Lo que sucederá?
1,¿Puedo dejar un comentario si el botón de comentarios ya ha expirado?,¿Por qué no puedo dejar comentarios?
0,No puedo abrir la disputa,¿Cómo puedo abrir una disputa si el estado está terminado?
0,Quiero comprar un producto con entrega gratuita,Quiero efectivo contra entrega.
0,estaban en mi elemnt yo compro,He cobrado tarifas adicionales por mi compra
0,la pantalla de mi teléfono móvil ha dejado de funcionar días después de recibir mi pedido.El vendedor no contesta a mis peticiones.,¿Cuándo se actualizará la cantidad de mi pedido después de que el vendedor la ajuste?
0,Cómo sé que mi pedido va a llegar?,¿Cómo sé que el reembolso está siendo procesado?
1,MI PEDIDO NO SE HA ENVIADO,Mi pedido no ha sido enviado.
0,Tengo una pregunta sobre una máquina CNC,¿Tienes una persona o una máquina?
0,verificar el correo electrónico,¿Cuánto tiempo lleva verificar el pago?
1,¿Puedo reabrir una disputa?,"Cancelo una disputa, ¿puedo reabrir la disputa?"
0,Cómo encontrar el barco del artículo de los EE. UU. En la tienda,tamaño de Rusia de EE. UU.
0,He ordenado con una dirección de correo electrónico incorrecta,necesito una dirección de correo electrónico
1,como puede ayudarme,usted no me puede ayudar
0,quisiera saber porque tengo una apelación?,Necesito saber cuánto durará una disputa.
0,¿Puedes enviar bienes a Irán?,¿Puedo enviar mis productos a China?
1,cómo devolver el artículo,¿Cómo devuelvo un artículo enviado por el vendedor?
0,Disputa en progreso significa,tengo una disputa en progreso pero el vendedor se niega a hablar conmigo
0,quiero decir es ese el caso?,¿Cómo puedo reabrir un caso de disputa?
1,Hola. Quiero enviar un correo al gerente de ventas. Necesito la dirección de correo electrónico.,quiero tu correo
0,deseo saber el estado de mi apelacion,Quiero conocer el estado de mi caso.
0,Puede enviar mi correo,¿Puedes verificar mi dirección de correo electrónico?
0,cómo obtener un cupón de vendedor,¿Cómo puedo obtener el cupón?
0,y me costó en mi salud ya,"Ya pagué mi orde, pero el estado del pedido no ha cambiado"
0,¿Cómo estás hoy?,¿Puedes eliminar la lista hoy?
0,¿Por qué es que no hacen zapatos para hombres en talla 12 de EE. UU.,¿Tienes vendedores de los Estados Unidos?
0,No puedo encontrar Administrar comentarios en la aplicación,¿Puedo dejar comentarios para los proveedores?
1,Cómo me pongo en contacto con el vendedor,¿Cómo contacto con un vendedor?
0,NO quiero navegar por el sitio en idioma italiano. ¡QUIERO LEER LA DESCRIPCIÓN ORIGINAL DE INGLÉS para cada artículo !!!!,Quiero saber el tiempo de entrega de cada método de envío
0,"¡Hola! Estoy a punto de limpiar un poco mi lista de pedidos, sin embargo, no pude eliminar uno de mis pedidos anteriores.",es difícil para mi pequeño inglés explicar a qué me refiero
0,¿Puede decirme cuándo solicitaré mi pedido? Me 2017-05-22 12:05 hola Ya he escrito dos veces que no ha recibido mi pedido. Y has hecho trampas dos veces,¿Puedes decirme cómo puedo verificar el estado del pedido?
0,lo que está escrito en el juicio está en chino y ha tardado,¿Qué pasa si el envío tarda demasiado?
0,No se recibió correo electrónico confirmado,Ha ingresado un correo electrónico incorrecto
0,"Hola. El estado de mi disputa es: Estado: ""Esperando la confirmación del recibo del vendedor"" y el vendedor tiene 7 días para confirmar la recepción. Esos 7 días ya han pasado, pero no tengo reembolso por esta disputa",He solicitado una disputa. Mi protección de compra termina en 5 días.
0,Quiero enviarte una foto para preguntarte si un artículo está disponible para cualquier proveedor de tu sitio. ¿Es posible y cómo puedo hacer eso?,"en su sitio no he encontrado este producto, ¿me puede ayudar a encontrarlo?"
0,ahora le vuelvo a preguntar,¿No están enviando el producto ahora?
0,Me gustaría ponerme en contacto con el responsable de marketing en Suecia ...,Me gustaría hacer un pedido.
1,hola alguien puede ayudar,alguien me puede ayudar
0,a mi pedido le falta el asa pequeña,El pedido no vino a mi dirección.
0,Hola. cómo puedo pedirle al vendedor la factura de mi compañía,¿Cómo puedo poner todos los productos en el carrito para tener una factura que pagar?
0,Tengo una solicitud en apelacion y todavia no esta resuelta,¿Es esta una página legítima?
0,Hice un pedido y no a venido. Hace una semana,Hice un pedido y pagué. Quiero cancelarlo.
0,Siento que hablo con un robot y no me gusta esto.,me siento mal
0,estoy pendiente de saber que solucion me da un compañero tuyo que tenia que averiguar un problema con un proveedor,"Estoy intentando pedir un vestido, pero no me da a elegir ninguna talla."
0,mi cuenta no funciona,El cupón no funciona
0,No puedo agregar una tarjeta de crédito a la cuenta,No puedo hacer el pago con tarjeta de crédito
0,¿Sabeis el día que llegará mi pedido?,He recibido un mensaje diciendo que mi pedido está cancelado debido a que el vendedor ha sido suspendido.
0,"Hola, cuando accedo a ""mis pedidos"", veo que 3 productos fueron pedidos en doble.",¿Por qué me cobraron dos veces?
0,Quiero cancelar mi tarjeta de crédito,Quiero sobre el reembolso de la tarjeta de crédito
0,Mis monedas de la aplicación no fueron agregadas. Que puedo hacer,¿Pueden devolverme las monedas si cancelo el preorden?
0,chatear ahora no funciona,chatear con un agente
0,Quiero cerrar una disputa,¿Puedo reabrir la disputa después de cerrarla?
1,¿por qué mi pedido fue cancelado?,¿Por qué se retiró mi dinero de mi banco pero se canceló mi pedido?
1,¿Hay un número de teléfono al que pueda llamar?,Necesito un número para llamar para hablar con alguien
0,"uno de mis pedidos está en buenas condiciones, pero en los pedidos en inglés se puede cambiar a holandés",¿Me puede decir si este vendedor es bueno o no?
0,?Quién recibe el pago por Western Union?,¿Por qué ha fallado mi pago por Western Union?
0,No puedo ver el orden en mi auto,Pagué un pedido pero no puedo verlo en mi resumen de pedido
0,cómo agregar los puntos de recompensa,cómo agregar a mi favorito
1,Supongo que eres un robot,¿estás ahí? o es un robot
1,El vendedor no contesta los mensajes,El vendedor no contesta mis mensajes.
0,desde el banco me piden boleta o factura,¿Por qué me piden que guarde mi tarjeta?
0,"¿Ya realice mi pago el día de ayer, que procede?",Los vendedores piden que realice el pago antes de enviar los productos.
0,Quiero saber más sobre el producto,Quiero saber más sobre mi reclamo
0,el pedido ha sido enviado hace 20 días pero aún no lo recibí,"Cancelé esta orden hace algunas semanas, pero aún no he recibido ningún reembolso."
0,?Cómo puedo saber si un proveedor acepta depósitos o no?,¿Cómo saber si mi pedido está cancelado o no?
0,tengo un atractivo de tarjeta de crédito,Tengo un cargo extra en mi tarjeta de crédito
0,no sé dónde encontrar mi código de barras,Quiero saber cómo encontrar el producto
0,¿Cómo puedo poner la tienda en la lista negra?,¿Cómo agrego la tienda a la lista de deseos?
0,cómo abrir una disputa,Disputa abierta para pedidos completados
0,No veo qué reloj,No sé qué hacer para mi fin de semana.
0,cómo eliminar el detalle de pago ideal,cómo eliminar mi pedido?
1,¿Cómo cambiar a contraseña?,¿Cómo puedo recuperar mi contraseña?
1,puedo hablar con un agente,¿Puedo hablar con un humano?
0,"Mi pedido ha sido retenido en las aduanas portuguesas, necesito una prueba de compra, factura, recibo, ¿cómo puedo hacer?",¿Cómo confirmo que mi pedido ha sido recibido?
1,No puedo iniciar sesión. El enlace de contraseña olvidada no funciona.,intenté restablecer la contraseña pero no funcionó
1,contra reembolso disponible,¿Hay una opción para contra reembolso?
1,Quiero hacer un pedido pero no puedo,No puedo hacer mi pedido
0,cómo restablecer las contraseñas de la cuenta,cómo convertir la cuenta del comprador en cuenta del vendedor?
1,Cómo dejar comentarios en la tienda del vendedor,¿Cómo dejo comentarios negativos?
0,AUN NO ME LA ENVIA,Me he registrado en la página.
0,problemas con la garantia,estoy teniendo problemas con mi pedido
0,¿Me puede decir si puede aceptar pagos de PayPal?,¿Puede decirme por qué no puedo comprar con la tarjeta Visa?
1,Necesito hablar con una persona,Necesito hablar con un agente.
0,Quiero saber acerca de una orden,Quiero saber el estado de mi caso
1,cómo dejar de recibir correos,Estoy recibiendo correos electrónicos no solicitados y quiero que se detengan
0,Quiero ver mis detalles de rastreo,¿Cómo reviso los detalles de mi disputa?
1,No veo dónde contactar al servicio al cliente,Correo electrónico de servicio al cliente
0,el envío fue cancelado,No hay información para mi envío en este momento.
0,"No quiero un robot estúpido, necesito una respuesta",no hablo ingles
0,"Mi pedido ya esta pago, pero nose que tarjeta use","En el sitio web dice que mi pedido ya ha sido entregado, pero no lo he recibido."
1,quiero recibir el recibo,¿Cómo obtengo un recibo?
0,¿Quería saber más o menos el día en que llegaron mis productos?,Quiero saber más sobre el método de pago.
0,Tengo una pregunta sobre impuestos,Tengo una pregunta sobre mis cupones
0,Necesito los pasos a seguir para hacer una compra después de un reembolso,Necesito una factura para un pedido que he realizado.
0,Necesito acceder a mis pedidos de móvil en mi PC,Ya no puedo acceder a mi cuenta
0,asi que no disfruto de mis 5$ de descuento,¿Cómo activo la alerta de descuento?
0,"La tienda y el Vendedor ya no existen, y nunca enviaron el pedido N°81539584831453",Abrí una disputa y el vendedor aceptó.
0,No dije nada sobre el correo electrónico,Solo quiero decir Hola.
0,aquí tienes el número de pedido,¿Siempre estarás aquí?
0,por eso deseo un reembolso,¿Cómo recibo un reembolso por Pago SMS?
0,yo pongo mensajes y no me dicen nada,"Abrí una disputa y, por ahora, nada."
1,Imposible crear una cuenta,por qué no puedo crear una cuenta para mí
1,ordené el artículo en abril,pedí un producto
0,NO RECIBI EL PEDIDO Y DICE POR DPI. NO SE QUE ES . YO LO PAGUE Y QUIERO MIS COMPRAS,¿Por qué mi pago es menor de lo que yo pagué?
1,cómo reportar al vendedor.,El vendedor es un fraude. ¿Cómo puedo reportarlo?
0,por qué el vendedor extiende el período de entrega,¿Por qué no puedo extender el tiempo de procesamiento?
1,cómo abrir disputa para pedidos completados,Disputa abierta para pedidos completados
0,El dinero no ha sido pagado,"Lo siento, su pago no fue exitoso. No se ha deducido dinero."
0,MI PEDIDO NO HA SIDO RECIBIDO TODAVÍA.,¿Se ha recibido el pago de esta orden?
0,"No, es imposible enviar correos",correo aéreo china
1,necesito hablar con operadora,Necesito hablar con un humano.
0,guardar tarjeta de crédito,Mi tarjeta de crédito está sobrecargada
0,¿De dónde vienen tus productos?,El pago de los productos no fue confirmado
0,"Buenos días, tu compañera escaló el problema con una compra y no he recibido respuesta",Mis pedidos fueron cancelados y aún no he recibido el reembolso.
0,¿QUÉ DÍA PUEDO HABLAR CON UN HUMANO?,¡Qué dia de mierda!
0,¿Cómo podemos escasear el período de entrega y el proceso de envío?,Actualmente no podemos procesar tarjetas de negocios
1,"al vendedor, sin embargo no me responde",El vendedor no me responde.
0,Quiero ver mis detalles de rastreo,Necesito cambiar los detalles de mi tarjeta de crédito.
1,recibo el pedido después de obtener el reembolso,Recibí mi pedido después del reembolso
0,"Después de 15 días, no se ha abierto ninguna disputa",Abrí una disputa y mi aplicación ya se ha cerrado
0,¡Hola! Tengo una pregunta sobre una entrega.,Tengo una pregunta sobre mis cupones
0,no recibo mi pedido,No estoy disponible para hacer mi pedido
1,¿Qué es una protección del comprador?,¿Qué cubre la protección del comprador del fideicomiso?
0,mira por mí,"Por favor, llámame."
0,Todavía tengo el problema de que no cambio el producto enviado nok,¿Te casas conmigo?
0,tu no me entiendes,No me responderás.
1,que es disputa,¿Qué pasa con mi disputa?
0,Lo intenté y lo compruebo en mi cuenta y no me duele en el correo que obtengo la cuenta deshabilitada,Recibo un correo electrónico diciendo que ha llegado un nuevo correo
0,cuando le doy pagar solo me da el precio de un articulo,¿Cómo ver el precio de un producto?
0,¿Por qué se cancela mi pedido?,¿Por qué mi pedido no ha sido cancelado?
0,Tengo un nuevo correo electrónico,Puedes darme tu email
0,quiero ser vendedor,"Quiero un reembolso completo, pero el vendedor no estará de acuerdo"
0,85579690580659 ese el numero de envio quiero saber que pasa con eso,Quiero saber más sobre el reembolso por tarjeta de crédito.
0,cómo eliminar la tarjeta?,¿Cómo elimino a un vendedor de la lista negra?
0,Te he informado 3 veces,Presioné el botón Pagar ahora 3 veces. ¿Que puedo hacer?
0,Imposible crear una cuenta,¿Cómo creo mi cuenta?
0,estoy siguiendo una queja,Estoy confundido con tu respuesta
0,PEDIR MENSAJE Y VENDEDOR MENSAJE?,¿Por qué el vendedor no envía artículos o responde un mensaje?
0,reemplazar la información de la tarjeta,Quiero reemplazar el artículo roto.
0,"Hice una compra, la envío a la dirección incorrecta y parece que volverá, ¿cómo obtengo mi producto?",¿Cómo devuelvo el producto?
0,El producto llegó pero no puedo transferir el dinero al vendedor,el producto ha sido devuelto al vendedor. Cuándo puedo obtener mi dinero
0,¿Puedo dejar un comentario porque el vendedor es muy amable?,¿Puedo dejar un comentario privado?
1,¿Por qué se cancela mi pedido?,¿Por qué se canceló el pedido?
1,El paquete fue entregado en otra dirección de acuerdo a lo comentado con el personal de mi casillero,"Según la información de seguimiento, mi pedido se entregó en EE. UU. Pero estoy en Filipinas."
0,Prefiero un español,"Mi cuenta aparece en español, necesito inglés."
0,Error de pago en la aplicación,Recibí un mensaje de error durante el proceso de pago. ¿Que debería hacer?
0,cómo responder en disputa,cómo cancelar una disputa abierta?
0,"por favor, conocerte también",Usted me podría ayudar por favor
1,¿Por qué no estás respondiendo correta? Ve al infierno,No estás respondiendo ninguna de mis preguntas.
1,y tengo un problema con mi orden,Tengo un problema con la orden
0,Cómo verificar mi lista de deseos,¿Cómo reviso mi pedido?
1,"Abrí la disputa por mi pedido hace una semana, pero no puedo ver ningún resultado. Que esta pasando? El estado es ""Disputa en progreso"". ¿Cuánto tiempo debería llevar? Gracias.",Abrí la disputa hace un mes y todavía estoy esperando su respuesta.
1,¿Es posible?,¿Es posible pagar con una tarjeta de débito?
0,Quiero saber el estado de mi pago de reembolso,Quiero saber si puedo hacer mi pago con American Express
0,pero necesita iniciar sesión para verificar,iniciar sesión toma demasiado tiempo
0,Por qué se cancela el envío,"La orden es cancelada, pero el dinero no es reembolsado"
0,cómo cancelar la disputa?,"Cancelo una disputa, ¿puedo reabrir la disputa?"
0,cómo presentar una queja,¿Cómo puedo subir el archivo?
1,¿Por qué se cancela mi pedido?,Mi orden fue cancelada ¿Cuál es el problema?
0,¿Cómo cambio mi número?,¿Cómo cambio mi calificación?
0,No necesito respuestas automáticas.,No sé cómo usarlo.
0,Si encuentro donde hacer la apelación pero no puedo enviarla,¿Cómo encuentro la dirección postal del vendedor si tengo que devolver artículos?
0,y el vendedor no me da solucion,El vendedor dijo que no había stock y me pidió cancelarlo.
0,no puedo ver mi orden,No puedo ver la foto
1,este es mi placer,todo mi placer
0,cómo hago el pedido,No puedo hacer un pedido.
0,mira entre como perlamr62 pero por algun motivo ya no pude entrar,"Ya realicé mi pago, pero aparece como no pagado. ¿Qué hago?"
0,cómo enviar imágenes,¿Cuánto enviar a mi país?
0,diferencia de pequeño paquete un correo aéreo registrado,Necesito una pequeña ayuda tuya
0,no puedo unirme,No puedo ubicar mi pedido
0,no me está dando la respuesta correcta: necesito los diez artículos principales que vendí en 2017,"Estoy tratando de pedir un vestido, pero no me da el tamaño para elegir."
1,pago no procesado,Pago mi pedido pero aún no procesado
1,¿Cómo puedo obtener el código de seguimiento nacional para mi producto?,¿Cómo puedo encontrar mi número de rastreo?
0,como cancelo un reembolso en una disputa finalizada,¿Cómo cancelo un pedido en Pendiente de envío?
0,cómo eliminar el detalle de pago ideal,cómo eliminar bienes ya recibidos
0,intercambia monedas por cupones,Solicitar una compensación (MONEDAS)
0,Cómo obtener un reembolso del pago de Mercado,¿Cómo puedo ver el reembolso que recibo?
0,pero quiero respuesta: necesito los diez artículos principales que vendí en 2017,Quiero comprar muchos artículos en un orden. ¿Qué pasa con el envío?
0,"hola, tengo una pregunta sobre el sitio. Sabes, realmente me encanta navegar, buscar cosas divertidas para comprar y me pregunto si los planes son poner un botón de ""producto aleatorio"" en la página para enviarte a una página al azar.",¿Por qué no he visto a Qiwi en la página de pago?
0,aun espero respuesta del vendedor,¿Cómo puedo denunciar mala conducta del vendedor?
0,no necesitamos eliminar por favor necesitamos persona puede entenderme,podemos ir a una cita?
0,No puedo evaluar al vendedor,¿Puedo chatear con mi vendedor?
0,¿Cuál es el significado de órdenes canceladas finalizadas?,¿Qué puedo hacer si el pedido finaliza cuando devuelvo la mercancía?
0,hola necesito de su ayuda aqui en chile no me quiren entregar mi producto por que no tengo el numero de seguimiento de aqui en chile,¿En qué página puedo hacer el seguimiento de mi paquete?
1,?Cómo puedo confirmar la entrega una vez que he recibido mi pedido?,Confirmar pedido recibido.
0,"Si vendo aquí, ¿puedo obtener el pago enviado a mi cuenta de PayPal?","¿Puedo pagar el pedido con otros métodos de pago, como PayPal?"
0,¿Cómo cambio la contraseña?,¿Cómo cambio la evaluación?
0,cómo aplicar la garantía,¿Cómo aplico un código de cupón?
1,preferiría llamar,me gustaría llamar tengo una pregunta
0,¿Qué es la cuota de depósito en garantía?,¿Puedes decirme qué es FIDEICOMISO?
1,Tiempo de entrega estimado.,el tiempo estimado para la entrega
0,Olvidé mi contraseña y mi correo electrónico,Olvidé la contraseña de mi tarjeta agregada. ¿Que debería hacer?
0,¿Puedo cambiar mi pedido si está esperando el envío?,¿Cómo reviso el envío de mi pedido?
0,¿Puedes hablar conmigo?,"No pude hacer el pago con mi tarjeta de débito VISA, podría ayudarme, por favor."
0,¿Qué significa: su orden será cerrada?,"El orden ha sido congelado, ¿qué significa eso?"
0,acabo de recibir un producto que no es lo que pedi,Necesito que reembolsen un producto que pedí.
0,subir video de evidencia,¿Por qué no puedo subir evidencia para una disputa?
0,"Mi disputa fue rechazada El artículo no funciona. Compré algunos de los artículos que se supone le permiten cargar su iPhone 7 y enchufar auriculares al mismo tiempo. No funciona, no hay audio cuando conectas los auriculares. Tienes que contar tu ve",Su forma de cargar archivos adjuntos no funciona.
1,?Por qué tengo un cargo en mi tarjeta de crédito cuando yo no tenía un pedido?,Me cobraron en mi tarjeta de crédito cuando yo nunca les he comprado nada.
1,eliminar el historial de pedidos,¿Es posible eliminar el historial de pedidos?
0,El robot no me ayudará,¿Eres capaz de ayudarme?
1,para impuestos de aduana,¿Tengo que pagar impuestos a las aduanas brasileñas?
0,me he contactado con los vendedores el cual ninguno me ha dado respuesta,"He estado intentando contactar con un vendedor, pero no me ha contestado."
0,"Hola, la tarjeta que estoy usando dejará de servir en pocos días. Quiero saber si puedo pedir el reembolso a otro número de tarjeta, en caso que tenga un reembolso. Gracias.","Estoy esperando que hagan el reembolso en mi tarjeta, ¿cuánto tardarán?"
1,¿Cómo abro una disputa?,¿Cómo abro una disputa?
0,NO quiero navegar por el sitio en idioma italiano. ¡QUIERO LEER LA DESCRIPCIÓN ORIGINAL DE INGLÉS para cada artículo !!!!,Quiero leer los comentarios escritos sobre mi pedido
0,donde d0 obtengo mi 20%,No recibí mi reembolso después de más de 20 días hábiles
0,¡Te escribí arriba!,¿Te puedo llamar?
0,No se puede crear una cuenta,¿Debo crear una cuenta de protección del comprador?
0,cómo hacer un pedido,acabo de hacer un pedido
